id,url,title,text,title_vector,content_vector,vector_id
 Jewish Passover - falls in the same week as Western Christianity's Holy Week, which is the week leading up to Easter.,,,,,
 Mother's Day (UK) falls between March 1 and April 4.,,,,,,
 World Snooker Championship (late April, early May),,,,,
 Horse racing - Grand National (UK), Kentucky Derby (United States),,,,,
 Start of Daylight Saving Time - Clocks going forward one hour:,,,,,,
 Most of Mexico,,,,,,
 Morocco (Ramadan does not include Daylight Saving Time),,,,,,
 End of Daylight Saving Time - Clocks going back one hour:,,,,,,
 Southeast Australia, and New Zealand,,,,,
 Chile,,,,,,
 Marathon Events in the following cities:,,,,,,
 Belgrade, Serbia,,,,,
 Boston, Massachusetts, United States,,,,
 Brighton, United Kingdom,,,,,
 Enschede, Netherlands,,,,,
 London, United Kingdom,,,,,
 Madrid, Spain,,,,,
 Paris, France,,,,,
 Rotterdam, Netherlands,,,,,
 Utrecht, Netherlands,,,,,
 Zurich, Switzerland,,,,,
Selection of Historical Events ,,,,,,
 April 1, 1918 - The Royal Air Force is founded.,,,,,
 April 1, 1976 - Apple Inc. is founded.,,,,,
 April 1, 1979 - The Islamic Republic of Iran is founded.,,,,,
 April 1, 1999 - The territory of Nunavut is created in Northern Canada.,,,,,
 April 1, 2001 - The Netherlands introduces same-sex marriage, as the first country to do so.,,,,
 April 2, 1519 - Florida is sighted by a European for the first time.,,,,,
 April 2, 1930 - Haile Selassie becomes Emperor of Ethiopia.,,,,,
 April 2, 1982 - Start of the Falklands War, as Argentine forces land on the Falkland Islands.,,,,
 April 2, 2005 - Pope John Paul II dies aged 84, after 26-and-a-half years as Pope.,,,,
 April 3, 1973 - The first-ever mobile phone call is placed by Martin Cooper in New York City.,,,,,
 April 4, 1721 - Robert Walpole becomes the first Prime Minister of Great Britain.,,,,,
 April 4, 1841 - William Henry Harrison dies. He was President of the United States for 31 days, the shortest-ever time in office for a US President.,,,,
 April 4, 1960 - Senegal becomes independent.,,,,,
 April 4, 1968 - Assassination of Martin Luther King, Jr. in Memphis, Tennessee.,,,
 April 5, 1722 - Jacob Roggeveen becomes the first European to land on Easter Island, landing there on Easter Sunday.,,,,
 April 6, 1320 - Scotland's independence is confirmed with the Declaration of Arbroath.,,,,,
 April 6, 1830 - The Mormon Church is founded.,,,,,
 April 6, 1909 - Robert Peary claims to have been first at the North Pole on this date.,,,,,
 April 7, 1994 - The Rwandan Genocide begins.,,,,,
 April 9, 1865 - American Civil War: Confederate forces under Robert E. Lee surrender to Union forces.,,,,,
 April 9, 1940 - World War II: Denmark and Norway are invaded by Nazi Germany.,,,,,
 April 9, 1989 - April 9 tragedy: In Tbilisi, Georgia, a peaceful demonstration for independence is broken up by the Soviet Army, killing 20 people. The country gains independence on this date exactly two years later.,,
 April 10, 1815 - Mount Tambora in Indonesia erupts in a huge eruption, affecting the world's climate for at least a year.,,,,
 April 10, 2010 - A plane crash near Smolensk, Russia, kills several people who were important in Poland, including President Lech Kaczynski.,,
 April 11, 1814 - Napoleon Bonaparte is exiled to the island of Elba.,,,,,
 April 11, 1954 - Said to have been the most boring day of the 20th century.,,,,,
 April 12, 1861 - The American Civil War begins at Fort Sumter, Charleston, South Carolina.,,,
 April 12, 1945 - US President Franklin D. Roosevelt dies, and Harry S. Truman replaces him.,,,,
 April 12, 1961 - Yuri Gagarin becomes the first human to fly into space.,,,,,
 April 14, 1865 - US President Abraham Lincoln is shot dead at Ford's Theatre by John Wilkes Booth. Lincoln dies the next day.,,,,,
 April 14, 2010 - Qinghai Province, China, is hit by an earthquake, killing tens of thousands of people.,,
 April 14, 2010 - The eruption of Eyjafjallajokull in Iceland shuts down air traffic around Europe for a week, due to its ash cloud.,,,,
 April 15, 1912 - The ship RMS Titanic sinks near Newfoundland after hitting an iceberg, resulting in the deaths of many of the people on board.,,,,
 April 16, 1943 - Albert Hofmann discovers LSD's effects.,,,,,
 April 17, 1946 - Syria gains full independence from France.,,,,,
 April 18, 1906 - 1906 San Francisco earthquake: San Francisco, California, is hit by a big earthquake, resulting in fires that destroy large parts of the city.,,
 April 18, 1980 - Zimbabwe gains full independence.,,,,,
 April 19, 1897 - The first Boston Marathon is held.,,,,,
 April 19, 1971 - Sierra Leone becomes a republic.,,,,,
 April 19, 1993 - The siege of the Branch Davidians at Waco, Texas, ends in a fire that kills 82 people.,,,
 April 19, 1995 - Timothy McVeigh carries out the Oklahoma City bombing, killing 169 people.,,,,
 April 19, 2005 - Joseph Alois Ratzinger becomes Pope Benedict XVI.,,,,,
 April 20, 1902 - Marie Curie and Pierre Curie refine Radium.,,,,,
 April 20, 2010 - Deepwater Horizon oil spill: A massive fire on the Deepwater Horizon drilling rig in the Gulf of Mexico kills 11 workers and causes a massive oil spill, the worst spill in US history.,,,,
 April 21, 753 BC - Legendary founding date of Rome,,,,,
 April 21, 1509 - Henry VIII of England becomes King.,,,,,
 April 21, 1908 - Frederick Cook claims to have reached the North Pole on this date.,,,,,
 April 22, 1502 - Pedro Alvares Cabral becomes the first European to reach present-day Brazil.,,,,,
 April 22, 1970 - Earth Day is observed for the first time.,,,,,
 April 23, 1533 - The Church of England declares that Henry VIII of England and Catherine of Aragon are not married.,,,,,
 April 24, 1916 - The Easter Rising occurs in Dublin, Ireland.,,,,
 April 24, 1990 - The Hubble Space Telescope is launched on the Space Shuttle Discovery.,,,,,
 April 25, 1915 - World War I: In Turkey, the Battle of Gallipoli begins, Australian, French, British and New Zealand forces land at Anzac cove.,
 April 25, 1974 - Portugal's dictatorship is overthrown in a coup, in what is known as the Carnation Revolution.,,,,
 April 26, 1937 - Spanish Civil War: German planes bomb the town of Guernica, Basque Country, later depicted in a painting by Pablo Picasso.,,,
 April 26, 1964 - Tanganyika and Zanzibar merge to form Tanzania.,,,,,
 April 26, 1986 - A reactor explosion occurs at the Chernobyl nuclear plant in present-day Ukraine, with radiation spreading around Europe and the world.,,,,
 April 26/27, 1994 - South Africa holds its first free elections.,,,,,
 April 27, 1960 - Togo becomes independent from France.,,,,,
 April 27, 1961 - Sierra Leone becomes independent from the United Kingdom.,,,,,
 April 28, 1789 - Mutiny on the ship Bounty in the Pacific Ocean, lead by Fletcher Christian.,,,,
 April 28, 1945 - Benito Mussolini is executed by Italian partisans.,,,,,
 April 28, 1947 - In Peru, Thor Heyerdahl starts his Kon-Tiki expedition aimed at proving his theory that the Polynesian settlers on the Pacific Ocean's islands came from South America.,,,,
 April 29, 1991 - A cyclone in Bangladesh kills an estimated 138,000 people.,,,,
 April 29, 2011 - The wedding of Prince William, Duke of Cambridge and Catherine, Duchess of Cambridge is broadcast worldwide.,,,
 April 30, 1789 - George Washington becomes the first President of the United States.,,,,,
 April 30, 1803 - The United States purchases (buys) the Louisiana territory from France.,,,,,
 April 30, 1945 - Adolf Hitler commits suicide on the same day that the Soviet Army raises the Red Flag on Berlin's Reichstag.,,,,,
 April 30, 1952 - The Diary of Anne Frank is published in English.,,,,,
 April 30, 1975 - The Vietnam War ends, as North Vietnamese forces take Saigon.,,,,
 April 30, 1980 - Queen Juliana of the Netherlands abdicates the throne, and her daughter becomes Queen Beatrix of the Netherlands. Beatrix later also abdicates, on this day in 2013, in favor of her son, King Willem-Alexander of the Netherlands.,
Trivia ,,,,,,
 In Western Christianity, there is a bigger likelihood of Easter falling in April than in March.,,,,,
 The months around April (March and May) both start with an 'M' in the English language, with an 'A' as the second letter.,,,,,
 In the English language, April is the first of three months in-a-row, along with May and June, that is also a female given name.,,,
 The astrological signs for April are Aries (March 21 to April 20) and Taurus (April 21 to May 20).,,,,,,
 The sweet pea and daisy are the traditional birth flowers for April.,,,,,,
 Birthstone for April is the Diamond.,,,,,,
April 1 is the only day in April to start within the first quarter of the calendar year.,,,,,,
 If the months of the year were arranged in alphabetical order in the English language, April would come first.,,,,,
 Six current European monarchs were born in April. They are King Philippe of Belgium (April 15), Queen Margrethe II of Denmark (April 16), Henri, Grand Duke of Luxembourg (April 16), Elizabeth II of the United Kingdom and Commonwealth realms (April 21), King Willem-Alexander of the Netherlands (April 27), and King Carl XVI Gustaf of Sweden (April 30).
